sentence,char_visual_subs,char_visual_split,char_visual_combin,char_noise_inject,char_mask,char_swap,word_language,word_homo,word_abbrev,word_split,sent_benign
你妈生出了你这个讨shi吃都要被狗咬的孽种然后看到你这逼样果断的把又你塞回你妈的bi里这就是废物的循环利用,,,,,,,1,,,,
学海教.育】个性化教.育第一品牌，一线教师根据学生学习情况，制订适合的教学方案，查.漏补缺。电话：8888888 8888888,,,,1,,,,,,,
你好，我 行可为/您申/请到x-888万，【信】【用】 【咔】。条/件宽/松。88888888888王经理&,,,,1,,,,,,1,
【hongkee旗舰店】#女人节大促温暖登场#全场x.x拆起，新款x.x拆仍可用优惠券，x.x当日更有iphonexplus等大奖等亲来拿！,,,,1,,,,,,,
刘 生 有 【进*项】x x 潽*通 【做*帐】TEL：888 888   8888x,,,,1,,,,,,1,
雷士照明恭祝大家8888年生意兴隆. 财源广进.  平安幸福！为了答谢新老顾客.  惊爆价.  三哲起  .还有更多优费到店内咨,,,,,,,,1,,,
您好！我这是内蒙古大自然影视有限公司，拍摄电影电视剧、微电影、MV、纪录片、专题片、动物世界等影视业务。如您那需要拍片！请联系我！vx8888,,,,,,,,,1,,
佰#榢#泺，龍@唬@斗，牛￥牛，体育等！諟款赽，详情：世迯洮榞 8888888.℃○M 咖叺VIP澮员享受x汏特權沋*惠等著您！,1,,,1,,,,1,,,
t世迯洮榞堵场 8888888.℃○M 佰#佳#泺，龍&唬&斗，牛￥牛，体*育等！諟款赽，主册有活动等着您光临！,,,,1,,,,,,,
哥，您今天给小徐这次为您服务的机会，小徐会用百分百效果回馈给您，您带一个疗程（x盒，8888元）过去，另外再赠送您x盒“壮阳Vx”和TEL：88888888888,,,,,,,1,,1,,
一次价值888元王牌项目；可充植888元店内项目卡一张；可以参与V动好生活百分百抽奖机会一次！预约电话：88888888888,,,,,,,,,1,,
客户前来惠顾。   另有一批高分子脚线生产设备四拆处理。   垂询:88888888888。,1,,,,,,,,,,
豪杰国际打造百余种搏彩游xi精彩刺激，即刻登www.8888xx.CxM 注册就送xx，反shui x.x%起，存取888万x分钟到账！e,,,,,,,1,,,,
帝豪家.居祝您及家人元宵节快乐！誠信x.xx、x号至xx号蔏·塲新·品家 具优·恵xx%。誠邀光臨！地址：王府坪市 塲旁,,,,,,,1,,,1,
你好，我司有xx%专用.进_项等。能报.帐用。如需：88888888888陈d,,,,1,,,,,,,
代↓用 开↓后 发↓付 漂↓费 lxxlxxOlOOl 刘'R,,,,1,,,,,,,
有钱的她还送了我psp和苹果电脑，现在离2015年9月3日抗日战争胜利七十周年一个多月。上个月ued会员流水达到2a的请联系我晚上的飞机现在就要退房破团，你真的是哈士奇吗我怎么觉得你更像神烦狗那。帮我把这缝纫机从扬州扛到了南京,,,,,,,,,,,1
上海尤尤汽保有限公司，专业汽保设备供应商。地址:上海市虹梅南路8888号xx区x-x号。公司电舌:888-88888888/8888x,1,,,,,,,,,,
亲爱的纸妹们：醋疗美容????陈红提前祝大家x.x妇女快乐????永远年轻????漂亮??x.x号全天免费，????产品买一送一??,,,,1,,,,,,,1
您好，我想咨询关于 九茂小区 南北通透 得房率高 地铁口 急 瘦架888.x万/月x室x厅的情况，如方便请尽快回复，谢谢！,,,,,,,,1,,,
【思路通】凡事都有专 业性，思路通专注数学方法培训xx年，学数就学到思路通。解放中路名都嘉园（教育书店）对面，电 话【8888888】,,,,,,,,,,1,
免费zx88888888888升级版机麻控制器，不安装，起手拿好牌，可现场试用，满意再买。g,,,,,,,,,1,,
元宵滋味多，每口甜心头：  芝麻馅，祝你芝麻开花节节高；  红豆馅，祝你红红火火日子好；  白糖馅，祝你百尺竿头好运道！祝元宵节快乐!RAKUZAN 乐山室内设计 8888888888,,,,,,,,,,,1
铂玺大促: 徐州市彭城广场店Lx铂玺专柜内，服装x一x折 VX:8888一88888888,,,,,,,,,1,,
海王星辰x月x号x号单#店促#销,,,,1,,,,,,,
